product_name,status,bp_eur,bp_eur_cz,delivery_month,available,available_cz,released_rtd,brand,panel_colour,panel_design,panel_power,inverter_power,nomenclature_group,delivery_cw,length,height,width,pcs_ctn,pcs_pal,available_10_only,available_15_only,attribute_2,min_receipt_date,max_receipt_date
ANTAI_C0402-CJ092-01 TYN 450 Mini Rail for Trapezb,       ,0.979,0.979,,4188,4188,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,4188,0,23OV880100000001-0045,1704067200000.0,1704067200000.0
ANTAI_C0501-TYN16-04 Grounding Lug,       ,0.559,0.559,,1294,1294,0,ANTAI,,,0,0,CON_ANT,,0.0,0.0,0.0,0,0,1294,0,23OV880100000001-0046,1704067200000.0,1704067200000.0
COM100E SUNGROW Smart Communication Box,       ,347.0,347.0,,0,0,0,SUNGROW,,,0,0,ACC_SGR,,315.0,126.0,460.0,0,0,0,0,23OV880100000001-0047,1704067200000.0,1704067200000.0
Wallbox EV charger:Copper SB CPB1 (22kW / SOCKET /,       ,0.0,0.0,,1,1,0,WALLBOX,,,0,0,EVC_WAL,,192.0,113.0,260.0,0,0,1,0,23OV880100000001-0048,1704067200000.0,1704067200000.0
CS6L-455MS_BF,       ,0.114,0.11900000000000001,,0,0,0,CANADIAN,BF,GLASS,455,0,PAN_CSI,,1134.0,30.0,1903.0,840,35,0,0,24OV010100000084-0001,1716336000000.0,1717027200000.0
CS6L-455MS_BF,       ,0.105,0.11,07/2024,840,0,0,CANADIAN,BF,GLASS,455,0,PAN_CSI,29,1134.0,30.0,1903.0,840,35,0,0,24OV010100000326-0001,1722384000000.0,1722816000000.0
CS6L-460MS_BF,       ,0.111,0.116,,322,322,5040,CANADIAN,BF,GLASS,460,0,PAN_CSI,,1134.0,30.0,1903.0,840,35,322,0,24OV010100000083-0003,1721001600000.0,1722988800000.0
CS6R-410 SF,       ,0.28400000000000003,0.28400000000000003,,26,26,0,CANADIAN,SF,GLASS,410,0,PAN_CSI,,1134.0,30.0,1722.0,910,35,26,0,23OV880100000001-0060,1704067200000.0,1704067200000.0
CS6R-415 BF,       ,0.14,0.14,,40,40,0,CANADIAN,BF,GLASS,415,0,PAN_CSI,,1134.0,30.0,1722.0,910,35,40,0,23OV880100000001-0061,1704067200000.0,1704067200000.0
CS7L-595MS,       ,0.12,0.12,,4,4,0,CANADIAN,SF,GLASS,595,0,PAN_CSI,,1303.0,35.0,2172.0,527,31,4,0,23OV880100000001-0063,1704067200000.0,1704067200000.0
CS7N-665MS,       ,0.16,0.16,,682,682,0,CANADIAN,SF,GLASS,665,0,PAN_CSI,,1303.0,35.0,2384.0,558,31,403,279,23OV880100000001-0064,1704067200000.0,1704067200000.0
CS7N-665MS,       ,0.177,0.182,,1116,1116,0,CANADIAN,SF,GLASS,665,0,PAN_CSI,,1303.0,35.0,2384.0,558,31,1116,0,23OV990100000007-0001,1705881600000.0,1706572800000.0
DDSU666-H,       ,60.0,60.0,,0,0,0,HUAWEI,,,0,0,ACC_HUA,,36.0,65.5,100.0,0,0,0,0,23OV880100000001-0066,1704067200000.0,1704067200000.0
DONGLE (WiFi2.0) SOLINTEG,       ,14.0,19.0,,266,266,0,SOLINTEG,,,0,0,ACC_SLG,,51.0,35.0,123.0,0,0,266,0,23OV880100000001-0067,1704067200000.0,1704067200000.0
DTSU666 SUNGROW,       ,112.0,112.0,,44,44,0,SUNGROW,,,0,0,ACC_SGR,,72.0,65.5,100.0,0,0,44,0,23OV880100000001-0068,1704067200000.0,1704067200000.0
DTSU666-D SOLAX,       ,66.0,71.0,,26,26,0,SOLAX,,,0,0,ACC_SLX,,72.0,65.5,100.0,0,0,26,0,23OV880100000001-0069,1704067200000.0,1704067200000.0
DTSU666-H 250A,       ,95.0,95.0,,36,36,0,HUAWEI,,,0,0,ACC_HUA,,72.0,65.5,100.0,0,0,36,0,24OV010100000201-0001,1712102400000.0,1712102400000.0
dummy LUNA 2000-5-EO ( Luna Huawei Battery exstens,       ,0.0,0.0,,1,1,0,HUAWEI,,,0,0,ACC_HUA,,0.0,0.0,0.0,0,0,1,0,23OV880100000001-0073,1704067200000.0,1704067200000.0
Dummy SUN2000-10KTL-M1 HUAWEI,       ,0.0,0.0,,1,1,0,HUAWEI,,,0,10000,INV_HUA,,470.0,166.0,525.0,0,0,1,0,23OV880100000001-0074,1704067200000.0,1704067200000.0
DYNESS_BDU_BASE,       ,590.0,595.0,,1,1,0,DYNES,,,0,0,BAT_DYN,,380.0,156.5,504.0,0,0,1,0,23OV880100000001-0075,1704067200000.0,1704067200000.0
DYNESS_HV9637,       ,1100.0,1105.0,,3,3,0,DYNES,,,0,0,BAT_DYN,,240.0,380.0,504.0,0,0,3,0,23OV880100000001-0076,1704067200000.0,1704067200000.0
EBS-5150-BAS,       ,75.0,80.0,,5,5,0,SOLINTEG,,,0,0,BAT_SLG,,0.0,0.0,0.0,0,0,5,0,23OV880100000001-0077,1704067200000.0,1704067200000.0
EBS-5150-BAT,       ,691.0,691.0,,0,0,0,SOLINTEG,,,0,0,BAT_SLG,,0.0,0.0,0.0,0,0,0,0,24OV010100000001-0001,1705017600000.0,1705017600000.0
EBS-5150-BMS,       ,405.0,410.0,,4,4,0,SOLINTEG,,,0,0,BAT_SLG,,0.0,0.0,0.0,0,0,4,0,23OV880100000001-0079,1704067200000.0,1704067200000.0
EP500PRO MOVABLE POWER STATION BLUETTI,       ,3393.0,3393.0,,2,2,0,BLUETTI,,,0,0,PPS_BLU,,300.0,760.0,580.0,0,0,2,0,23OV880100000001-0082,1704067200000.0,1704067200000.0
GW60KN-MT,       ,2850.0,2850.0,,11,11,0,GOODWE,,,0,60000,INV_GWY,,788.0,264.0,586.0,0,0,11,0,23OV880100000001-0083,1704067200000.0,1704067200000.0
HUAWEI AC_CHARGER-1PH 7KW,       ,540.0,540.0,,9,9,0,HUAWEI,,,0,0,EVC_HUA,,145.0,335.0,180.0,0,0,9,0,23OV880100000001-0086,1704067200000.0,1704067200000.0
SDongleA-03-EU - Huawei Smart Dongle-4G,       ,97.0,97.0,,6,6,0,HUAWEI,,,0,0,ACC_HUA,,48.0,33.0,130.0,0,0,6,0,23OV880100000001-0087,1704067200000.0,1704067200000.0
HUAWEI Wi-Fi Dongle,       ,40.0,40.0,,1,1,0,HUAWEI,,,0,0,ACC_HUA,,515.0,264.1,571.4,0,0,1,0,24OV010100000158-0001,1709683200000.0,1709683200000.0
HUAWEI Wi-Fi Dongle,       ,40.0,40.0,,3,3,0,HUAWEI,,,0,0,ACC_HUA,,515.0,264.1,571.4,0,0,3,0,24OV010100000314-0003,1719964800000.0,1719964800000.0
JAM54D40-420-MB-BF,       ,0.115,0.12,,132,132,0,JASOLAR,BF,2GLASS,420,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,132,0,24OV010100000121-0011,1710460800000.0,1710892800000.0
JAM54D40-425-GB-BF,       ,0.125,0.13,,13,13,0,JASOLAR,BF,2GLASS,425,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,13,0,23OV880100000001-0089,1704067200000.0,1704067200000.0
JAM54D40-425-GB-BF,       ,0.115,0.12,02/2024,13,0,36,JASOLAR,BF,2GLASS,425,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0039,,
JAM54D41-435-LB-ALL BLACK,       ,0.123,0.128,05/2024,1872,0,0,JASOLAR,FB,2GLASS,435,0,PAN_JAS,18,1134.0,30.0,1762.0,936,36,0,0,24OV010100000121-0015,,
JAM54D41-435-LB-ALL BLACK,       ,0.11800000000000001,0.123,06/2024,14040,0,0,JASOLAR,FB,2GLASS,435,0,PAN_JAS,22,1134.0,30.0,1762.0,936,36,0,0,24OV010100000121-0016,,
JAM54D41-435-LB-ALL BLACK,       ,0.11800000000000001,0.123,05/2024,1872,0,0,JASOLAR,FB,2GLASS,435,0,PAN_JAS,18,1134.0,30.0,1762.0,936,36,0,0,24OV010100000121-0053,,
JAM54S30-405-MR-BF,       ,0.115,0.12,,22,22,0,JASOLAR,BF,GLASS,405,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,22,0,23OV880100000001-0091,1704067200000.0,1704067200000.0
JAM54S30-410-MR-SF,       ,0.11,0.115,,12,12,0,JASOLAR,SF,GLASS,410,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,12,0,23OV880100000001-0093,1704067200000.0,1704067200000.0
JAM54S30-415-GR-BF,       ,0.11,0.115,,2,2,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,2,0,23OV880100000001-0094,1704067200000.0,1704067200000.0
JAM54S30-415-MR-BF,       ,0.10300000000000001,0.108,02/2024,1476,0,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0007,1710201600000.0,1722556800000.0
JAM54S30-415-MR-BF,       ,0.10300000000000001,0.108,02/2024,4680,0,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0008,1716422400000.0,1716422400000.0
JAM54S30-415-MR-BF,       ,0.10300000000000001,0.108,02/2024,936,0,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0009,,
